,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
18540,0,69,8,110,442,42.567651,8.757222,1.0,0,0.0,1,0,2,2,596,69.0,0,8,0.0,1,0.0,Corsican National Liberation Front (FLNC)
55038,0,228,10,151,658,16.8884,44.2738,3.0,0,0.0,1,0,8,8,742,228.0,0,9,0.0,0,0.0,Houthi extremists (Ansar Allah)
47876,0,160,5,0,16,6.700414,121.972557,1.0,0,1.0,1,0,3,2,25,153.0,0,6,3.0,1,0.0,Abu Sayyaf Group (ASG)
69698,0,228,10,152,659,13.586484,44.024105,1.0,0,0.0,1,0,3,14,307,228.0,0,6,13.0,1,0.0,Houthi extremists (Ansar Allah)
57022,0,228,10,43,149,15.325443,44.211895,1.0,0,0.0,0,0,6,7,245,75.0,0,5,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
37502,0,209,10,175,758,41.106178,28.689863,1.0,0,0.0,1,0,3,19,913,209.0,0,6,0.0,1,0.0,Kurdistan Workers' Party (PKK)
13256,0,145,2,318,1212,13.746389,-86.709722,1.0,0,0.0,1,0,2,4,672,145.0,0,5,34.0,1,0.0,Nicaraguan Democratic Force (FDN)
62630,0,228,10,45,156,13.985013,45.558479,1.0,0,0.0,1,0,2,3,250,228.0,0,5,2.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
10725,0,159,3,354,1395,-13.65311,-73.95396,1.0,0,0.0,1,0,1,8,1556,159.0,0,5,1.0,0,0.0,Shining Path (SL)
81639,0,95,10,34,732,32.867008,44.220455,1.0,0,0.0,1,1,3,4,20,95.0,0,6,1.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
43369,0,186,6,210,861,6.022103,80.799766,1.0,0,0.0,1,1,3,4,965,186.0,0,6,16.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
10586,0,145,2,323,1218,12.538409,-85.573921,2.0,1,0.0,1,0,7,19,1335,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
24705,0,159,3,224,926,-11.967368,-76.978462,1.0,0,1.0,1,0,3,8,51,159.0,0,6,0.0,1,0.0,Shining Path (SL)
16498,0,159,3,224,926,-11.967368,-76.978462,1.0,0,0.0,1,0,2,3,1560,159.0,0,5,1.0,1,0.0,Shining Path (SL)
64063,0,160,5,281,1113,8.818475,125.69826,1.0,0,0.0,1,0,2,4,12,160.0,0,5,2.0,0,0.0,New People's Army (NPA)
57443,1,160,5,0,8,6.545399,121.873756,1.0,1,0.0,1,0,6,2,9,160.0,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
28672,0,61,2,128,527,13.597728,-89.418532,1.0,0,0.0,1,0,2,14,689,61.0,0,5,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
29589,0,92,6,367,1469,30.378179,76.776697,1.0,1,0.0,1,0,1,2,1652,92.0,0,5,5.0,0,0.0,Sikh Extremists
67343,1,4,6,395,1523,36.781832,71.076543,3.0,0,1.0,1,0,2,3,20,4.0,0,5,1.0,1,-9.0,Taliban
56724,0,228,10,38,144,12.83672,44.922062,1.0,0,0.0,0,0,3,2,255,228.0,0,6,0.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
18171,0,43,3,218,914,-33.366238,-70.505302,1.0,0,0.0,1,0,2,10,1061,43.0,0,5,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
15426,0,159,3,224,926,-11.967368,-76.978462,1.0,0,1.0,1,0,3,2,1798,159.0,0,6,1.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
83493,0,92,6,106,973,18.464464,82.355801,1.0,1,0.0,1,0,7,1,514,92.0,0,5,0.0,1,0.0,Maoists
33380,0,185,8,68,252,43.365899,-2.996356,1.0,0,0.0,1,0,1,3,393,185.0,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
75828,0,92,6,104,363,22.408769,87.373316,3.0,0,1.0,0,0,3,20,6,92.0,0,6,0.0,0,0.0,Maoists
28814,0,155,10,335,1288,31.907141,35.198219,1.0,0,0.0,1,0,2,4,12,97.0,0,8,0.0,1,0.0,Palestinians
69945,0,209,10,191,810,37.912504,40.2391,3.0,0,0.0,1,0,3,3,250,209.0,0,6,2.0,1,0.0,Kurdistan Workers' Party (PKK)
65761,1,45,3,263,1067,6.067805,-77.164991,2.0,1,0.0,1,0,6,14,13,45.0,0,5,1.0,0,1.0,National Liberation Army of Colombia (ELN)
80285,0,147,11,141,587,7.8116,10.58387,1.0,0,1.0,1,0,2,14,27,147.0,0,5,3.0,-9,0.0,Fulani extremists
64768,0,4,6,396,1526,32.903333,67.649722,2.0,0,0.0,1,0,3,17,1695,4.0,0,6,4.0,1,0.0,Taliban
78185,0,95,10,24,740,33.036022,40.288158,1.0,0,0.0,1,0,3,14,447,95.0,0,6,0.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
