,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
6972,0,185,8,99,24,43.07563,-2.223667,4.0,0,0.0,0,0,3,2,1515,185.0,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
4901,0,603,8,212,2270,54.253718,-7.44106,1.0,0,0.0,1,0,3,20,2399,233.0,0,6,1.0,1,0.0,Irish Republican Army (IRA)
22734,0,61,2,173,1622,13.814197,-88.34682,1.0,0,0.0,1,0,2,4,803,61.0,0,5,30.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
30757,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,7,1,6176,159.0,0,8,0.0,1,0.0,Shining Path (SL)
21342,0,186,6,296,2810,7.29384,80.640669,1.0,0,0.0,1,0,2,4,3851,186.0,0,5,2.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
17503,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,0.0,1,0,3,1,1188,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
28922,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,14,669,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
57462,0,92,6,152,3096,22.10882,85.29112,1.0,1,0.0,0,0,3,4,895,92.0,0,6,0.0,0,0.0,Maoists
5370,0,97,10,291,4323,32.811988,35.259513,1.0,0,0.0,1,0,3,14,5639,97.0,0,6,1.0,1,0.0,Palestinians
18298,0,92,6,526,4786,28.690073,77.213982,1.0,0,0.0,1,0,2,14,6432,92.0,0,5,10.0,0,0.0,Sikh Extremists
16510,0,92,6,365,4783,31.633078,74.878288,1.0,0,0.0,1,0,2,14,6552,92.0,0,5,3.0,1,0.0,Sikh Extremists
28007,0,155,10,514,4269,31.907141,35.198219,1.0,0,0.0,1,0,1,14,5507,155.0,0,5,1.0,0,0.0,Palestinians
63764,0,153,6,365,5252,31.590166,74.575894,1.0,0,0.0,1,1,3,14,13,153.0,0,6,62.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
68599,0,45,3,436,24,3.27199,-73.087749,4.0,0,0.0,1,0,3,19,233,45.0,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
73839,0,200,10,45,368,33.515244,36.292084,1.0,0,0.0,1,0,7,1,387,155.0,0,8,0.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
17241,0,145,2,493,4027,13.131923,-86.345742,3.0,0,1.0,1,0,3,21,1575,145.0,0,6,0.0,1,0.0,Nicaraguan Democratic Force (FDN)
37284,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,0,0,3,12,3217,233.0,0,6,0.0,0,0.0,Irish Republican Army (IRA)
29977,0,159,3,540,4635,-13.277193,-72.217872,1.0,1,0.0,1,0,2,4,681,159.0,0,5,14.0,1,0.0,Shining Path (SL)
69217,0,228,10,63,453,13.985013,45.558479,1.0,0,0.0,1,1,3,22,767,228.0,0,6,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
44443,0,160,5,9,3794,6.483545,125.066665,1.0,0,0.0,1,0,2,1,5111,14.0,0,5,0.0,1,0.0,New People's Army (NPA)
57347,0,4,6,571,4957,32.100204,66.901016,1.0,1,0.0,1,0,3,19,56,4.0,0,6,8.0,1,0.0,Taliban
59970,0,228,10,63,453,13.985013,45.558479,1.0,0,0.0,0,0,3,20,6,228.0,0,6,0.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
5615,0,603,8,212,2296,54.515694,-6.055724,1.0,0,0.0,1,0,3,14,3191,216.0,0,6,0.0,1,0.0,Irish Republican Army (IRA)
73964,1,45,3,412,3596,8.212022,-73.325726,1.0,0,0.0,1,0,6,1,4883,45.0,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
83503,0,160,5,0,87,6.553941,122.154736,1.0,0,0.0,1,0,2,4,173,160.0,0,5,1.0,0,0.0,Abu Sayyaf Group (ASG)
73665,0,228,10,59,489,15.45639,45.324871,1.0,0,0.0,1,0,3,1,387,228.0,0,6,3.0,1,0.0,Houthi extremists (Ansar Allah)
68287,0,200,10,222,2489,36.201721,37.14352,1.0,0,1.0,1,0,3,14,1327,200.0,0,6,4.0,-9,0.0,Muslim extremists
12804,0,69,8,20,196,48.856644,2.34233,1.0,0,0.0,1,0,3,1,2386,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
68663,0,153,6,479,5346,32.747876,69.861777,1.0,1,0.0,1,0,3,4,162,153.0,0,6,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
19587,0,92,6,365,4790,31.326015,75.576183,1.0,0,0.0,1,0,1,14,6434,92.0,0,5,5.0,0,0.0,Sikh Extremists
16948,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,2,767,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
75948,0,228,10,70,497,13.702663,44.73357,1.0,0,0.0,1,0,3,14,205,228.0,0,6,1.0,0,0.0,Houthi extremists (Ansar Allah)
13687,0,183,11,22,201,-26.184113,28.033232,1.0,0,0.0,1,0,3,1,626,216.0,0,6,0.0,1,0.0,African National Congress (South Africa)
41845,0,69,8,158,1503,42.014318,8.835788,1.0,0,0.0,1,0,3,2,2475,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
58989,0,147,11,143,1923,11.55106,7.021365,1.0,0,1.0,1,0,2,14,27,147.0,0,5,40.0,1,0.0,Fulani extremists
61337,0,228,10,208,2153,15.664708,43.943921,1.0,0,0.0,1,0,3,14,1896,228.0,0,6,1.0,1,0.0,Houthi extremists (Ansar Allah)
30461,0,186,6,237,2784,9.18158,80.846082,1.0,0,0.0,1,0,2,4,803,186.0,0,5,7.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
29986,0,209,10,229,2391,41.106178,28.689863,1.0,0,0.0,0,0,7,8,3584,209.0,0,8,0.0,1,0.0,Kurdistan Workers' Party (PKK)
49492,0,160,5,454,3815,13.515076,123.049149,1.0,0,0.0,1,0,2,14,5131,160.0,0,5,1.0,0,0.0,New People's Army (NPA)
32101,0,45,3,528,2939,1.14646,-77.00389,1.0,0,0.0,1,0,2,4,803,45.0,0,5,8.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
16400,0,145,2,502,3653,13.52628,-84.89873,1.0,0,0.0,1,0,2,4,2660,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
72719,0,147,11,188,1856,7.296636,9.250712,2.0,0,1.0,1,0,2,14,1928,147.0,0,5,4.0,1,0.0,Fulani extremists
12624,0,183,11,22,201,-26.184113,28.033232,1.0,0,0.0,1,0,3,2,409,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
66620,0,95,10,41,367,33.835629,44.247406,1.0,0,0.0,1,1,3,4,1390,95.0,0,6,8.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
70057,0,214,9,167,1568,48.427444,37.835751,1.0,1,0.0,1,0,2,4,48,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
38631,0,160,5,449,3761,9.02025,126.23322,1.0,0,0.0,1,0,2,1,5122,160.0,0,5,0.0,-9,0.0,New People's Army (NPA)
40933,0,92,6,321,3390,33.538588,74.369286,1.0,0,0.0,1,0,3,14,4640,92.0,0,6,2.0,-9,0.0,Muslim extremists
9375,0,185,8,99,730,43.090476,-2.31322,1.0,0,0.0,0,0,3,2,1613,185.0,0,6,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
53734,0,209,10,256,2608,38.457543,40.647071,1.0,0,0.0,1,0,2,4,402,209.0,0,5,3.0,-9,0.0,Kurdistan Workers' Party (PKK)
50662,0,153,6,380,3410,34.002579,71.382477,1.0,0,0.0,1,0,3,8,6950,153.0,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
892,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,3141,216.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
5226,0,69,8,121,196,48.856644,2.34233,1.0,0,0.0,1,0,3,14,2347,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
16221,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,7,7349,43.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
22135,0,97,10,516,4265,31.771599,35.2034,1.0,0,0.0,1,0,3,14,5500,97.0,0,6,1.0,1,0.0,Palestinians
61933,0,214,9,167,1516,47.981647,37.762325,1.0,0,0.0,1,0,3,14,2568,214.0,0,6,1.0,1,0.0,Donetsk People's Republic
