,extended,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,individual,weaptype1,nkill,property,ishostkid,gname
1744,0,0,0.0,1,0,6,1,1337,0,5,1.0,1,1.0,Nicaraguan Democratic Force (FDN)
1745,0,0,1.0,1,0,3,1,399,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
1746,0,0,0.0,1,0,2,4,672,0,5,7.0,1,0.0,Nicaraguan Democratic Force (FDN)
1747,0,0,1.0,1,0,2,4,249,0,5,3.0,-9,0.0,Boko Haram
1748,0,0,1.0,1,0,3,1,399,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
1749,0,0,0.0,0,0,1,2,877,0,5,1.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
1750,0,0,0.0,0,0,3,14,767,0,6,0.0,0,0.0,Houthi extremists (Ansar Allah)
1751,0,0,0.0,1,0,1,4,410,0,5,1.0,0,0.0,Basque Fatherland and Freedom (ETA)
1752,0,0,0.0,1,1,3,4,1682,0,6,1.0,1,0.0,Taliban
1753,0,0,0.0,1,0,2,4,332,0,5,7.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1754,0,0,0.0,1,0,3,14,177,0,6,7.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
1755,0,0,1.0,1,0,3,1,152,0,6,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1756,0,1,0.0,1,0,3,4,1400,0,6,0.0,0,0.0,Palestinians
1757,0,0,0.0,1,0,2,17,501,0,5,3.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
1758,0,0,0.0,1,0,2,4,672,0,5,93.0,1,0.0,Nicaraguan Democratic Force (FDN)
1759,0,0,0.0,1,0,1,2,1272,0,5,1.0,0,0.0,New People's Army (NPA)
1760,0,0,1.0,1,0,2,14,13,0,5,17.0,0,0.0,Fulani extremists
1761,0,0,0.0,1,0,3,3,1303,0,6,4.0,1,0.0,New People's Army (NPA)
1762,0,0,0.0,1,0,3,4,250,0,6,4.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1763,0,1,0.0,1,0,3,21,1171,0,6,0.0,1,0.0,Muslim extremists
1764,0,0,0.0,0,0,6,7,245,0,5,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1765,0,0,0.0,1,0,3,2,1199,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
1766,0,0,0.0,1,0,1,2,1604,0,5,3.0,0,0.0,Sikh Extremists
1767,0,0,0.0,1,0,2,4,683,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1768,0,0,0.0,1,0,1,3,844,0,5,1.0,0,0.0,Irish Republican Army (IRA)
1769,0,0,1.0,1,0,3,21,1201,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
1770,0,0,0.0,1,0,2,4,249,0,5,7.0,-9,0.0,Al-Shabaab
1771,0,0,0.0,1,0,3,4,1762,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
1772,0,0,0.0,1,0,2,8,1095,0,9,0.0,0,0.0,Maoists
1773,0,0,1.0,1,0,3,14,13,0,6,4.0,-9,0.0,Al-Qaida in Iraq
1774,0,0,0.0,1,0,3,14,752,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
1775,0,0,0.0,1,0,2,4,678,0,5,41.0,1,0.0,Nicaraguan Democratic Force (FDN)
1776,0,1,1.0,1,0,2,14,27,0,5,2.0,1,0.0,Boko Haram
1777,0,0,0.0,1,0,3,2,687,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1778,0,0,0.0,1,0,2,4,457,0,5,4.0,0,0.0,Boko Haram
1779,0,0,1.0,1,0,3,1,1037,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1780,0,0,0.0,1,0,3,8,1748,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
1781,0,0,0.0,0,0,1,2,5,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
1782,0,1,0.0,1,0,3,4,250,0,6,13.0,1,0.0,Kurdistan Workers' Party (PKK)
1783,0,0,0.0,1,0,3,4,17,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
1784,0,0,0.0,0,0,2,14,47,0,5,2.0,0,0.0,Abu Sayyaf Group (ASG)
1785,0,0,0.0,1,1,3,14,475,0,6,4.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
1786,0,0,0.0,0,1,3,20,6,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
1787,0,1,0.0,0,0,2,4,12,0,5,0.0,0,0.0,Maoists
1788,0,0,1.0,1,0,7,15,442,0,8,0.0,1,0.0,Boko Haram
1789,0,0,1.0,1,0,2,3,20,0,5,14.0,0,0.0,Al-Qaida in Iraq
1790,0,0,0.0,1,0,3,7,1822,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
1791,0,0,0.0,1,0,3,2,406,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
1792,0,0,0.0,1,0,3,14,752,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
1793,0,0,0.0,1,0,1,2,381,0,6,2.0,-9,0.0,Basque Fatherland and Freedom (ETA)
1794,0,0,0.0,1,0,2,3,382,0,5,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
1795,0,0,0.0,1,0,2,3,18,0,6,2.0,-9,0.0,Abu Sayyaf Group (ASG)
1796,0,1,0.0,1,0,2,4,48,0,6,0.0,-9,0.0,Donetsk People's Republic
1797,1,0,0.0,1,0,6,2,1159,0,5,0.0,1,1.0,Muslim extremists
1798,0,0,0.0,0,0,1,4,1069,0,6,0.0,0,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1799,0,0,1.0,1,0,2,14,27,0,5,33.0,1,0.0,Fulani extremists
1800,0,0,0.0,1,0,3,19,56,0,6,1.0,1,0.0,Sikh Extremists
1801,0,0,0.0,1,0,3,4,609,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
1802,0,0,0.0,1,0,3,2,1801,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
1803,0,0,0.0,1,0,1,2,470,0,5,1.0,-9,0.0,Boko Haram
1804,0,0,0.0,1,0,3,4,12,0,6,13.0,0,0.0,Revolutionary Armed Forces of Colombia (FARC)
1805,0,1,0.0,1,0,3,4,48,0,6,1.0,1,0.0,Kurdistan Workers' Party (PKK)
1806,0,0,0.0,1,0,2,4,303,0,6,4.0,-9,0.0,Al-Shabaab
1807,0,0,0.0,1,0,1,2,1610,0,5,1.0,0,0.0,Sikh Extremists
1808,1,0,0.0,1,0,6,4,20,0,5,4.0,-9,1.0,Al-Qaida in the Arabian Peninsula (AQAP)
1809,0,0,0.0,0,0,3,2,1068,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1810,0,0,0.0,1,0,2,3,933,0,5,0.0,1,0.0,Kurdistan Workers' Party (PKK)
1811,0,0,0.0,1,0,3,10,1126,0,6,0.0,1,0.0,Maoists
1812,0,0,0.0,1,0,3,1,1464,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
1813,0,0,1.0,1,0,3,14,346,0,6,0.0,1,0.0,Houthi extremists (Ansar Allah)
1814,0,0,0.0,1,0,2,4,48,0,6,0.0,0,0.0,Donetsk People's Republic
1815,1,0,0.0,1,0,2,17,1738,0,8,70.0,1,1.0,Tehrik-i-Taliban Pakistan (TTP)
1816,0,0,0.0,1,0,1,14,1091,0,5,1.0,0,0.0,Maoists
1817,0,0,0.0,1,0,2,14,27,0,9,7.0,1,0.0,Sikh Extremists
1818,0,0,0.0,1,0,2,22,954,0,5,2.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
1819,0,0,0.0,0,0,3,8,51,0,6,0.0,0,0.0,Abu Sayyaf Group (ASG)
1820,0,0,0.0,0,0,1,14,1421,0,9,0.0,0,0.0,Palestinians
1821,0,0,0.0,1,0,3,3,273,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
1822,0,0,1.0,1,0,7,1,1164,0,8,0.0,1,0.0,Muslim extremists
1823,0,0,0.0,1,0,3,19,821,0,6,0.0,1,0.0,Irish Republican Army (IRA)
1824,0,0,0.0,1,0,2,21,691,0,5,23.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
1825,0,0,0.0,1,0,3,14,811,0,6,1.0,1,0.0,Irish Republican Army (IRA)
1826,0,0,1.0,1,1,3,4,20,0,6,4.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
1827,0,0,1.0,1,0,2,3,1140,0,5,16.0,0,0.0,Taliban
1828,0,0,0.0,1,0,2,4,189,0,5,1.0,0,0.0,Muslim extremists
1829,0,0,0.0,0,0,2,3,282,0,6,0.0,0,0.0,Muslim extremists
1830,0,0,1.0,1,0,2,14,447,0,6,32.0,-9,0.0,Boko Haram
1831,0,0,1.0,1,0,3,14,209,0,6,2.0,1,0.0,Al-Qaida in Iraq
1832,0,0,1.0,1,0,7,1,659,0,5,1.0,1,0.0,Donetsk People's Republic
1833,0,0,0.0,1,0,2,14,13,0,6,5.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
1834,0,0,0.0,1,0,3,4,904,0,6,2.0,-9,0.0,Kurdistan Workers' Party (PKK)
1835,0,0,0.0,1,0,3,2,127,0,6,0.0,1,0.0,African National Congress (South Africa)
1836,0,0,0.0,1,0,6,1,1197,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
1837,0,0,0.0,1,0,3,3,1053,0,6,1.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
1838,0,0,0.0,1,0,1,10,1650,0,5,2.0,0,0.0,Sikh Extremists
1839,0,0,1.0,1,1,3,2,191,0,6,23.0,0,0.0,Al-Qaida in Iraq
1840,0,0,0.0,1,0,2,14,660,0,5,2.0,-9,0.0,Donetsk People's Republic
1841,0,0,0.0,1,0,2,2,316,0,5,2.0,1,0.0,Al-Shabaab
1842,1,0,1.0,1,0,6,14,63,0,5,5.0,0,1.0,Abu Sayyaf Group (ASG)
1843,0,0,0.0,1,0,3,14,652,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
1844,0,0,0.0,1,0,3,3,1096,0,6,3.0,1,0.0,Maoists
